"file","lufs","peak_dbfs","fmt"
"0-item.mp3","-16.7","-1.5","44100,1"
"Histoires de Timote\0-item.mp3","-16","-2.2","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\0-item.mp3","-17.7","-1.5","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\01 Timote aime tout faire tout seul.item.mp3","-15.9","-2.1","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\01 Timote aime tout faire tout seul.mp3","-16","-1.6","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\02 Timote et sa tetine.item.mp3","-16","-2.4","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\02 Timote et sa tetine.mp3","-16","-1.5","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\03 Timote et son doudou.item.mp3","-16","-3.3","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\03 Timote et son doudou.mp3","-16","-1.5","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\04 Timote fait un gateau.item.mp3","-16","-3.4","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\04 Timote fait un gateau.mp3","-16","-1.4","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\05 Timote jardine.item.mp3","-16","-3.5","44100,1"
"Histoires de Timote\1 Quotidien et autonomie\05 Timote jardine.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\0-item.mp3","-16","-2.2","44100,1"
"Histoires de Timote\2 Emotions et grandir\01 Timote devient grand frere.item.mp3","-16","-3.2","44100,1"
"Histoires de Timote\2 Emotions et grandir\01 Timote devient grand frere.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\02 Timote dort chez un copain.item.mp3","-16","-3.8","44100,1"
"Histoires de Timote\2 Emotions et grandir\02 Timote dort chez un copain.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\03 Timote est amoureux.item.mp3","-16","-3.8","44100,1"
"Histoires de Timote\2 Emotions et grandir\03 Timote est amoureux.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\04 Timote et la petite souris.item.mp3","-15.9","-2.1","44100,1"
"Histoires de Timote\2 Emotions et grandir\04 Timote et la petite souris.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\05 Timote et les ecrans.item.mp3","-16","-4.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\05 Timote et les ecrans.mp3","-16","-1.5","44100,1"
"Histoires de Timote\2 Emotions et grandir\06 Timote et ses emotions.item.mp3","-16","-1.9","44100,1"
"Histoires de Timote\2 Emotions et grandir\06 Timote et ses emotions.mp3","-16","-1.4","44100,1"
"Histoires de Timote\2 Emotions et grandir\07 Timote fait des betises.item.mp3","-16","-1.7","44100,1"
"Histoires de Timote\2 Emotions et grandir\07 Timote fait des betises.mp3","-16","-1.4","44100,1"
"Histoires de Timote\3 Ecole\0-item.mp3","-16.3","-1.5","44100,1"
"Histoires de Timote\3 Ecole\01 Timote aime la musique.item.mp3","-16","-3.4","44100,1"
