"category","title","nb_chap","seconds"
"1 Quotidien et autonomie","Timoté aime tout faire tout seul","1","348"
"1 Quotidien et autonomie","Timoté et sa tétine","2","316.2"
"1 Quotidien et autonomie","Timoté et son doudou","2","342.1"
"1 Quotidien et autonomie","Timoté fait un gâteau","2","363.1"
"1 Quotidien et autonomie","Timoté jardine","2","360.2"
"2 Emotions et grandir","Timoté devient grand frère","2","294"
"2 Emotions et grandir","Timoté dort chez un copain","2","358.2"
"2 Emotions et grandir","Timoté est amoureux","1","378"
"2 Emotions et grandir","Timoté et la petite souris","2","374.2"
"2 Emotions et grandir","Timoté et les écrans","1","344"
"2 Emotions et grandir","Timoté et ses émotions","2","363.1"
"2 Emotions et grandir","Timoté fait des bêtises","2","301.1"
"3 Ecole","Timoté aime la musique","2","397.1"
"3 Ecole","Timoté apprend l'anglais","2","441.2"
"3 Ecole","Timoté découvre les chiffres","2","452.1"
"3 Ecole","Timoté découvre les lettres","2","444.2"
"3 Ecole","Timoté entre à l'école","2","336"
"3 Ecole","Timoté va à la cantine","2","286.1"
"3 Ecole","Timoté va au centre de loisirs","2","384.1"
"4 Sorties et culture","Timoté à l'aquarium","2","353.2"
"4 Sorties et culture","Timoté va à la bibliothèque","2","372.1"
"4 Sorties et culture","Timoté va au cirque","2","339.1"
"4 Sorties et culture","Timoté va au spectacle","2","383.2"
"4 Sorties et culture","Timoté visite le Louvre","2","350.2"
"4 Sorties et culture","Timoté visite le Musée d'Orsay","1","368.1"
"4 Sorties et culture","Timoté visite un château fort","2","348"
"5 Voyages","Timoté prend le train","2","343.2"
"5 Voyages","Timoté visite la Bretagne","2","419.4"
"5 Voyages","Timoté visite Paris","2","351.2"
"6 Sport et plein air","Timoté fait de la trottinette","2","373.2"
"6 Sport et plein air","Timoté fait du ski","2","297.1"
"6 Sport et plein air","Timoté fait du vélo","2","323"
"6 Sport et plein air","Timoté joue au foot","2","340.2"
"7 Fetes","Timoté et le Noël magique","2","345.1"
"7 Fetes","Timoté fête la Saint-Nicolas","2","361.1"
"7 Fetes","Timoté fête son anniversaire","2","335.3"
"8 Corps et sante","Timoté est malade","2","392.2"
"8 Corps et sante","Timoté et ses lunettes","2","354.1"
"8 Corps et sante","Timoté va chez le docteur","2","275"
"9 Nature et animaux","Timoté à la ferme","2","300.2"
"9 Nature et animaux","Timoté aime la planète","2","388.2"
"9 Nature et animaux","Timoté chez les pompiers","2","305.1"
"9 Nature et animaux","Timoté et le chantier","1","341"
"9 Nature et animaux","Timoté se promène en forêt","2","415.1"
"9 Nature et animaux","Timoté veut un animal","2","372.1"
