slug,titre,album_trouve,url,score,ok
timote-aime-tout-faire-tout-seul,Timoté aime tout faire tout seul,Timoté aime tout faire tout seul,https://i.scdn.co/image/ab67616d0000b273ac494fa70830fc5d2b768d47,1.25,1
timote-decouvre-les-chiffres,Timoté découvre les chiffres,Timoté découvre les chiffres,https://i.scdn.co/image/ab67616d0000b273827cbf56b0fd162158e5fc4c,1.25,1
timote-decouvre-les-lettres,Timoté découvre les lettres,Timoté découvre les lettres,https://i.scdn.co/image/ab67616d0000b273b20527a013368739a002d207,1.25,1
timote-et-sa-tetine,Timoté et sa tétine,Timoté et sa tétine,https://i.scdn.co/image/ab67616d0000b273af56a357ad14f231a8fcae40,1.25,1
timote-et-son-doudou,Timoté et son doudou,Timoté et son doudou,https://i.scdn.co/image/ab67616d0000b27304552cf29c2bb2242a8b2fbc,1.25,1
timote-fait-un-gateau,Timoté fait un gâteau,Timoté fait un gâteau,https://i.scdn.co/image/ab67616d0000b27388d79f89eee18e115b378371,1.25,1
timote-jardine,Timoté jardine,Timoté jardine,https://i.scdn.co/image/ab67616d0000b273e84c3a1fe676fcc37caa4e0f,1.25,1
timote-devient-grand-frere,Timoté devient grand frère,Timoté devient grand frère,https://i.scdn.co/image/ab67616d0000b2736de239517583dd68b138bb87,1.25,1
timote-dort-chez-un-copain,Timoté dort chez un copain,Timoté dort chez un copain,https://i.scdn.co/image/ab67616d0000b2739d5e8777dd638e45446edd95,1.25,1
timote-est-amoureux,Timoté est amoureux,Timoté est amoureux,https://i.scdn.co/image/ab67616d0000b273eb8341415547407800a7d451,1.25,1
timote-et-la-petite-souris,Timoté et la petite souris,Timoté et la petite souris,https://i.scdn.co/image/ab67616d0000b273247491b266262b07898c772f,1.25,1
timote-et-les-ecrans,Timoté et les écrans,Timoté et les écrans - Timoté,https://i.scdn.co/image/ab67616d0000b2735f739161c091e846b8505a7f,1.05,1
timote-et-ses-emotions,Timoté et ses émotions,Timoté et ses émotions,https://i.scdn.co/image/ab67616d0000b2734e00ab04f5405dc4278214d0,1.25,1
timote-fait-des-betises,Timoté fait des bêtises,Timoté fait des bêtises,https://i.scdn.co/image/ab67616d0000b273622bb4426f334c5bc6d44812,1.25,1
timote-aime-la-musique,Timoté aime la musique,Timoté aime la musique,https://i.scdn.co/image/ab67616d0000b273a3297e724603442a238e0e6c,1.25,1
timote-apprend-l-anglais,Timoté apprend l'anglais,Timoté apprend l'anglais,https://i.scdn.co/image/ab67616d0000b27342fd23d38dc9dd9886025bbe,1.25,1
timote-entre-a-l-ecole,Timoté entre à l'école,Timoté entre à l'école,https://i.scdn.co/image/ab67616d0000b2734073a8ee727226af00713fda,1.25,1
timote-va-a-la-cantine,Timoté va à la cantine,Timoté va à la cantine,https://i.scdn.co/image/ab67616d0000b273dc252f7a2b28ce9681fd1bc1,1.25,1
timote-va-au-centre-de-loisirs,Timoté va au centre de loisirs,Timoté va au centre de loisirs,https://i.scdn.co/image/ab67616d0000b2739707ccd7dfb1c689d19977f4,1.25,1
timote-a-l-aquarium,Timoté à l'aquarium,Timoté à l'aquarium,https://i.scdn.co/image/ab67616d0000b273195ef43d7c968c56e3f2aee1,1.25,1
timote-va-a-la-bibliotheque,Timoté va à la bibliothèque,Timoté va à la bibliothèque,https://i.scdn.co/image/ab67616d0000b273ba7835175f13ea96fb5db22d,1.25,1
timote-va-au-cirque,Timoté va au cirque,Timoté va au cirque,https://i.scdn.co/image/ab67616d0000b273991ec4af458dd15a41828188,1.25,1
timote-va-au-spectacle,Timoté va au spectacle,Timoté va au spectacle,https://i.scdn.co/image/ab67616d0000b273407b02a226b3b43cbf06d66b,1.25,1
