"num","chapter","title","key","file","seconds","lufs","peak_dbfs","status"
"001","1","Timoté aime la planète","aime la planete","001 Timoté - Chapitre 1 - Timoté aime la planète.mp3","182.1","-12.5","2.7","garde"
"002","2","Timoté aime la planète","aime la planete","002 Timoté - Chapitre 2 - Timoté aime la planète.mp3","206.1","-12.2","2.5","garde"
"003","0","Timoté et les écrans","et les ecrans","003 Timoté - Timoté et les écrans - Timoté.mp3","344","-12.3","2.4","garde"
"004","1","Timoté apprend l'anglais","apprend l anglais","004 Timoté - Chapitre 1 - Timoté apprend l'anglais.mp3","182.1","-13","3","garde"
"005","2","Timoté apprend l'anglais","apprend l anglais","005 Timoté - Chapitre 2 - Timoté apprend l'anglais.mp3","259.1","-12.4","2.2","garde"
"006","0","Timoté visite le Musée d'Orsay","visite le musee d orsay","006 Timoté - Timoté visite le Musée d'Orsay.mp3","368.1","-12.4","3","garde"
"007","0","Timoté et le chantier","et le chantier","007 Timoté - Timoté et le chantier - Timoté.mp3","341","-12.3","2.3","garde"
"008","0","Timoté est amoureux","est amoureux","008 Timoté - Timoté est amoureux.mp3","378","-12.4","2.4","garde"
"009","1","Timoté est malade","est malade","009 Timoté - Chapitre 1 - Timoté est malade - Timoté.mp3","184.1","-12.3","1.7","garde"
"010","2","Timoté est malade","est malade","010 Timoté - Chapitre 2 - Timoté est malade - Timoté.mp3","208.1","-12.2","1.8","garde"
"011","1","Timoté va au centre de loisirs","va au centre de loisirs","011 Timoté - Chapitre 1 - Timoté va au centre de loisirs.mp3","181.1","-12.5","2.6","garde"
"012","2","Timoté va au centre de loisirs","va au centre de loisirs","012 Timoté - Chapitre 2 - Timoté va au centre de loisirs.mp3","203","-12.2","2.1","garde"
"013","1","Timoté veut un animal","veut un animal","013 Timoté - Chapitre 1 - Timoté veut un animal.mp3","182","-12.1","2.2","garde"
"014","2","Timoté veut un animal","veut un animal","014 Timoté - Chapitre 2 - Timoté veut un animal.mp3","190.1","-12","1.8","garde"
"015","1","Timoté fait de la trottinette","fait de la trottinette","015 Timoté - Chapitre 1 - Timoté fait de la trottinette.mp3","191.1","-12.3","1.8","garde"
"016","2","Timoté fait de la trottinette","fait de la trottinette","016 Timoté - Chapitre 2 - Timoté fait de la trottinette.mp3","182.1","-12","2.3","garde"
"017","1","Timoté se promène en forêt","se promene en foret","017 Timoté - Chapitre 1 - Timoté se promène en forêt.mp3","185","-12.2","2.1","garde"
"018","2","Timoté se promène en forêt","se promene en foret","018 Timoté - Chapitre 2 - Timoté se promène en forêt.mp3","230.1","-13.2","2.5","garde"
"019","1","Timoté découvre les chiffres","decouvre les chiffres","019 Timoté - Chapitre 1 - Timoté découvre les chiffres.mp3","188.1","-12.3","2.2","garde"
"020","2","Timoté découvre les chiffres","decouvre les chiffres","020 Timoté - Chapitre 2 - Timoté découvre les chiffres.mp3","264","-12.7","2.1","garde"
"021","1","Timoté découvre les lettres","decouvre les lettres","021 Timoté - Chapitre 1 - Timoté découvre les lettres.mp3","185.1","-12.5","2.9","garde"
"022","2","Timoté découvre les lettres","decouvre les lettres","022 Timoté - Chapitre 2 - Timoté découvre les lettres.mp3","259.1","-12.4","2.7","garde"
"023","1","Timoté dort chez un copain","dort chez un copain","023 Timoté - Chapitre 1 - Timoté dort chez un copain.mp3","187.1","-12.1","2.7","garde"
"024","2","Timoté dort chez un copain","dort chez un copain","024 Timoté - Chapitre 2 - Timoté dort chez un copain.mp3","171.1","-12.3","2.2","garde"
"025","1","Timoté et la petite souris","et la petite souris","025 Timoté - Chapitre 1 - Timoté et la petite souris.mp3","187.1","-12","2","garde"
"026","2","Timoté et la petite souris","et la petite souris","026 Timoté - Chapitre 2 - Timoté et la petite souris.mp3","187.1","-12.8","1.7","garde"
"027","1","Timoté aime la musique","aime la musique","027 Timoté - Chapitre 1 - Timoté aime la musique.mp3","185.1","-12.2","2.4","garde"
"028","2","Timoté aime la musique","aime la musique","028 Timoté - Chapitre 2 - Timoté aime la musique.mp3","212","-13","2.6","garde"
"029","1","Timoté à l'aquarium","a l aquarium","029 Timoté - Chapitre 1 - Timoté à l'aquarium.mp3","188.1","-12.4","2.4","garde"
"030","2","Timoté à l'aquarium","a l aquarium","030 Timoté - Chapitre 2 - Timoté à l'aquarium.mp3","165.1","-12.4","2.6","garde"
"031","0","Timoté aime tout faire tout seul","aime tout faire tout seul","031 Timoté - Timoté aime tout faire tout seul.mp3","348","-12.1","2.3","garde"
"032","1","Timoté entre à l'école","entre a l ecole","032 Timoté - Chapitre 1 - Timoté entre à l'école.mp3","184","-12.7","2.2","garde"
