"file","lufs_before","peak_before","lufs_after","peak_after"
"Histoires de Timote\1 Quotidien et autonomie\01 Timote aime tout faire tout seul.item.mp3","-14.31","-0.37","-15.9","-2.1"
"Histoires de Timote\1 Quotidien et autonomie\02 Timote et sa tetine.item.mp3","-13.17","0.44","-16","-2.4"
"Histoires de Timote\1 Quotidien et autonomie\03 Timote et son doudou.item.mp3","-11.92","0.8","-16","-3.3"
"Histoires de Timote\1 Quotidien et autonomie\04 Timote fait un gateau.item.mp3","-12.46","0.12","-16","-3.4"
"Histoires de Timote\1 Quotidien et autonomie\05 Timote jardine.item.mp3","-11.73","0.75","-16","-3.5"
"Histoires de Timote\2 Emotions et grandir\01 Timote devient grand frere.item.mp3","-12.72","0.09","-16","-3.2"
"Histoires de Timote\2 Emotions et grandir\02 Timote dort chez un copain.item.mp3","-12.3","-0.04","-16","-3.8"
"Histoires de Timote\2 Emotions et grandir\03 Timote est amoureux.item.mp3","-12.62","-0.41","-16","-3.8"
"Histoires de Timote\2 Emotions et grandir\04 Timote et la petite souris.item.mp3","-13.3","0.65","-15.9","-2.1"
"Histoires de Timote\2 Emotions et grandir\05 Timote et les ecrans.item.mp3","-11.33","0.09","-16","-4.5"
"Histoires de Timote\2 Emotions et grandir\06 Timote et ses emotions.item.mp3","-12.75","1.39","-16","-1.9"
"Histoires de Timote\2 Emotions et grandir\07 Timote fait des betises.item.mp3","-12.81","1.5","-16","-1.7"
"Histoires de Timote\3 Ecole\01 Timote aime la musique.item.mp3","-12.62","-0.06","-16","-3.4"
"Histoires de Timote\3 Ecole\02 Timote apprend l anglais.item.mp3","-10.48","-0.28","-16","-5.8"
"Histoires de Timote\3 Ecole\03 Timote decouvre les chiffres.item.mp3","-11.3","0.46","-15.9","-4.3"
"Histoires de Timote\3 Ecole\04 Timote decouvre les lettres.item.mp3","-13.14","-0.15","-15.9","-3"
"Histoires de Timote\3 Ecole\05 Timote entre a l ecole.item.mp3","-13.03","-0.17","-16","-3.2"
"Histoires de Timote\3 Ecole\06 Timote va a la cantine.item.mp3","-12.57","-0.09","-16","-3.5"
"Histoires de Timote\3 Ecole\07 Timote va au centre de loisirs.item.mp3","-12.67","0.96","-15.6","-2.4"
"Histoires de Timote\4 Sorties et culture\01 Timote a l aquarium.item.mp3","-12.77","-0.34","-16","-3.6"
"Histoires de Timote\4 Sorties et culture\02 Timote va a la bibliotheque.item.mp3","-12.72","0.36","-15.9","-2.9"
"Histoires de Timote\4 Sorties et culture\03 Timote va au cirque.item.mp3","-12.1","0.42","-15.9","-3.5"
"Histoires de Timote\4 Sorties et culture\04 Timote va au spectacle.item.mp3","-15.99","-3.66","-16","-3.7"
"Histoires de Timote\4 Sorties et culture\05 Timote visite le Louvre.item.mp3","-12.07","0.85","-16.2","-3.1"
"Histoires de Timote\4 Sorties et culture\06 Timote visite le Musee d Orsay.item.mp3","-11.74","0.05","-15.9","-4.2"
"Histoires de Timote\4 Sorties et culture\07 Timote visite un chateau fort.item.mp3","-11.51","0.18","-15.9","-4.3"
"Histoires de Timote\5 Voyages\01 Timote prend le train.item.mp3","-12.91","-0.36","-16","-3.5"
"Histoires de Timote\5 Voyages\02 Timote visite la Bretagne.item.mp3","-11.62","0.32","-15.9","-4"
"Histoires de Timote\5 Voyages\03 Timote visite Paris.item.mp3","-13.14","-0.06","-16","-2.9"
"Histoires de Timote\6 Sport et plein air\01 Timote fait de la trottinette.item.mp3","-12.92","-0.09","-16","-3.2"
"Histoires de Timote\6 Sport et plein air\02 Timote fait du ski.item.mp3","-12.21","0.6","-16","-3.2"
"Histoires de Timote\6 Sport et plein air\03 Timote fait du velo.item.mp3","-11.7","-0.41","-15.9","-4.7"
"Histoires de Timote\6 Sport et plein air\04 Timote joue au foot.item.mp3","-13.51","0.13","-16","-2.4"
"Histoires de Timote\7 Fetes\01 Timote et le Noel magique.item.mp3","-11.44","-0.21","-16.1","-4.8"
"Histoires de Timote\7 Fetes\02 Timote fete la Saint Nicolas.item.mp3","-12.72","1.35","-15.9","-1.9"
"Histoires de Timote\7 Fetes\03 Timote fete son anniversaire.item.mp3","-11.17","0.83","-16.1","-4"
"Histoires de Timote\8 Corps et sante\01 Timote est malade.item.mp3","-11.94","0.61","-16","-3.5"
"Histoires de Timote\8 Corps et sante\02 Timote et ses lunettes.item.mp3","-11.47","0.52","-16","-4"
"Histoires de Timote\8 Corps et sante\03 Timote va chez le docteur.item.mp3","-12","0.21","-16","-3.8"
"Histoires de Timote\9 Nature et animaux\01 Timote a la ferme.item.mp3","-13.57","0.02","-16","-2.4"
"Histoires de Timote\9 Nature et animaux\02 Timote aime la planete.item.mp3","-11.7","0.9","-16","-3.4"
"Histoires de Timote\9 Nature et animaux\03 Timote chez les pompiers.item.mp3","-12.14","0.19","-16","-3.6"
"Histoires de Timote\9 Nature et animaux\04 Timote et le chantier.item.mp3","-10.24","0.35","-16","-5.4"
"Histoires de Timote\9 Nature et animaux\05 Timote se promene en foret.item.mp3","-11.23","-0.12","-15.9","-4.9"
"Histoires de Timote\9 Nature et animaux\06 Timote veut un animal.item.mp3","-12.83","-0.08","-16.1","-3.3"
