base,start,end,ov_start,ov_end,dur,method,flag,title
timote-aime-tout-faire-tout-seul,,,,,3.01,kept,,Timoté aime tout faire tout seul
timote-et-sa-tetine,,,,,2.75,kept,,Timoté et sa tétine
timote-et-son-doudou,,,,,2.89,kept,,Timoté et son doudou
timote-fait-un-gateau,,,,,2.49,kept,,Timoté fait un gâteau
timote-jardine,,,,,2.49,kept,,Timoté jardine
timote-devient-grand-frere,,,,,3.41,kept,,Timoté devient grand frère
timote-dort-chez-un-copain,,,,,2.89,kept,,Timoté dort chez un copain
timote-est-amoureux,,,,,2.79,kept,,Timoté est amoureux
timote-et-la-petite-souris,,,,,3.23,kept,,Timoté et la petite souris
timote-et-les-ecrans,,,,,2.51,kept,,Timoté et les écrans
timote-et-ses-emotions,,,,,3.13,kept,,Timoté et ses émotions
timote-fait-des-betises,,,,,2.95,kept,,Timoté fait des bêtises
timote-aime-la-musique,,,,,2.9,kept,,Timoté aime la musique
timote-apprend-l-anglais,,,,,2.39,kept,,Timoté apprend l'anglais
timote-decouvre-les-chiffres,,,,,3.2,kept,,Timoté découvre les chiffres
timote-decouvre-les-lettres,,,,,3.16,kept,,Timoté découvre les lettres
timote-entre-a-l-ecole,,,,,2.27,kept,,Timoté entre à l'école
timote-va-a-la-cantine,,,,,2.89,kept,,Timoté va à la cantine
timote-va-au-centre-de-loisirs,11.4,15.1,11.4,15.1,3.37,kept,titre?,Timoté va au centre de loisirs
timote-a-l-aquarium,,,,,2.49,kept,,Timoté à l'aquarium
timote-va-a-la-bibliotheque,,,,,3.11,kept,,Timoté va à la bibliothèque
timote-va-au-cirque,,,,,3.16,kept,,Timoté va au cirque
timote-va-au-spectacle,12.7,15.0,12.7,15.0,2.25,kept,,Timoté va au spectacle
timote-visite-le-louvre,,,,,3.3,kept,,Timoté visite le Louvre
timote-visite-le-musee-d-orsay,,,,,3.59,kept,,Timoté visite le Musée d'Orsay
timote-visite-un-chateau-fort,,,,,3.57,kept,,Timoté visite un château fort
timote-prend-le-train,,,,,2.33,kept,,Timoté prend le train
timote-visite-la-bretagne,,,,,3.22,kept,,Timoté visite la Bretagne
timote-visite-paris,,,,,3.53,kept,,Timoté visite Paris
timote-fait-de-la-trottinette,,,,,3.52,kept,,Timoté fait de la trottinette
timote-fait-du-ski,13.6,16.1,13.6,16.1,2.81,kept,,Timoté fait du ski
timote-fait-du-velo,,,,,2.11,kept,,Timoté fait du vélo
timote-joue-au-foot,,,,,2.31,kept,,Timoté joue au foot
timote-et-le-noel-magique,,,,,3.35,kept,,Timoté et le Noël magique
timote-fete-la-saint-nicolas,,,,,3.03,kept,,Timoté fête la Saint-Nicolas
timote-fete-son-anniversaire,,,,,3.52,kept,,Timoté fête son anniversaire
timote-est-malade,11.0,13.7,11.0,13.7,2.91,kept,,Timoté est malade
timote-et-ses-lunettes,,,,,2.92,kept,,Timoté et ses lunettes
timote-va-chez-le-docteur,,,,,2.65,kept,,Timoté va chez le docteur
timote-a-la-ferme,,,,,2.92,kept,,Timoté à la ferme
timote-aime-la-planete,,,,,2.96,kept,,Timoté aime la planète
timote-chez-les-pompiers,,,,,2.71,kept,,Timoté chez les pompiers
timote-et-le-chantier,,,,,2.39,kept,,Timoté et le chantier
timote-se-promene-en-foret,,,,,3.48,kept,,Timoté se promène en forêt
timote-veut-un-animal,,,,,3.14,kept,,Timoté veut un animal
